Proposta,Ano da proposta,IBGE,UF,Município,Nome da unidade,Componente,Porte,Situação no SISMOB,Data do repasse,Execução física (%) SISMOB,Data prevista de conclusão SISMOB,Dias sem monitoramento SISMOB,Data do último contato equipe PAC,Situação equipe PAC,Prioridade de contato,Ações,Quem fez o contato?,Data do contato,Execução informada pelo ente (%),Data/Previsão de conclusão informada pelo ente,Data/Previsão de inauguração informada pelo ente,Observações e problemas
10417698000124001,2024,260765,PE,Itambé,Unidade de Saude da Familia do Centro,Unidade Básica de Saúde,I,Em execução e conclusão,5/23/2025,56,12/31/2026,33,,Em execução e conclusão,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
10417698000124002,2024,260765,PE,Itambé,Unidade de Saude da Familia Loteamento Figueiredo,Unidade Básica de Saúde,I,Em início de execução,6/5/2025,32,12/31/2026,33,,Em início de execução,Alta,"• Pedir superação de etapa 'Início de execução'
• Atualizar SISMOB 1 vez por mês",,,,,,
10417698000125003,2025,260765,PE,Itambé,Ubs Pedra Bela,Unidade Básica de Saúde,I,Em início de execução,4/24/2026,0,,138,,Em início de execução,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
11402511000124005,2024,260770,PE,Itapetim,Esf Maria Limeira Leite,Unidade Básica de Saúde,I,Em execução e conclusão,12/31/2024,50,8/30/2026,19,,Em execução e conclusão,Alta,"• Atualizar data de conclusão
",,,,,,
03904395000124004,2024,260790,PE,Jaboatão dos Guararapes,Córrego da Batalha Ii,Unidade Básica de Saúde,II,Em execução e conclusão,7/22/2025,50,8/6/2026,4,,"Em execução, conclusão atrasada",Alta,"• Atualizar data de conclusão
",,,,,,
03904395000124005,2024,260790,PE,Jaboatão dos Guararapes,Dois Carneiros Baixo I e Ii,Unidade Básica de Saúde,II,Em início de execução,9/16/2025,30,9/19/2026,3,,Em início de execução,Média,"• Pedir superação de etapa 'Início de execução'
• Atualizar data de conclusão
",,,,,,
03904395000125004,2025,260790,PE,Jaboatão dos Guararapes,Dois Carneiros I e Ii,Unidade Básica de Saúde,II,Em início de execução,4/8/2026,0,,38,,Em início de execução,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
11263257000124001,2024,260805,PE,Jatobá,Construção de Ubs No Loteamento Novo Horizonte No Município de Jatobá-Pe,Unidade Básica de Saúde,I,Em início de execução,10/16/2025,3,12/31/2026,38,,Em início de execução,Média,• Atualizar SISMOB 1 vez por mês,,,,,,
10599648000124004,2024,260810,PE,João Alfredo,Unidade da Saúde da Família da Boa Vista,Unidade Básica de Saúde,I,Em início de execução,6/5/2025,0,,3,,Em início de execução,Alta,,,,,,,
10599648000124005,2024,260810,PE,João Alfredo,Unidade da Saúde da Família Olho de Água do Cercado ,Unidade Básica de Saúde,I,Em início de execução,6/9/2025,3,12/31/2026,32,,Em início de execução,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
10599648000125003,2025,260810,PE,João Alfredo,Ubs Campos do Borba,Unidade Básica de Saúde,I,Em início de execução,5/15/2026,0,,3,,Em início de execução,Baixa,,,,,,,
10599648000125004,2025,260810,PE,João Alfredo,Caps João Alfredo,Centro de Atenção Psicossocial,I,Em ação preparatória,,0,,81,,Ordem de serviço emitida,Alta,• Atualizar SISMOB 1 vez por mês,,,,,,
11326603000125003,2025,260845,PE,Lagoa do Carro,Unidade Básica José Fernando Lobo,Unidade Básica de Saúde,I,Em início de execução,2/24/2026,6,1/14/2027,25,,Em início de execução,Baixa,,,,,,,
